101,20,Piso 1, Aula 1. Equipada con videobeam, aire acondicionado y tablero acrilico.
102,50,Piso 1, Aula 2. Equipada con videobeam, aire acondicionado y tablero acrilico.
103,30,Piso 1, Aula 3. Equipada con videobeam, aire acondicionado y tablero acrilico.
104,30,Piso 1, Aula 4. Equipada con videobeam, aire acondicionado y tablero acrilico.
105,50,Piso 1, Aula 5. Equipada con videobeam, aire acondicionado y tablero acrilico.
106,20,Piso 1, Aula 6. Equipada con videobeam, aire acondicionado y tablero acrilico.
107,30,Piso 1, Aula 7. Equipada con videobeam, aire acondicionado y tablero acrilico.
108,20,Piso 1, Aula 8. Equipada con videobeam, aire acondicionado y tablero acrilico.
109,30,Piso 1, Aula 9. Equipada con videobeam, aire acondicionado y tablero acrilico.
110,30,Piso 1, Aula 10. Equipada con videobeam, aire acondicionado y tablero acrilico.
201,50,Piso 2, Aula 1. Equipada con videobeam, aire acondicionado y tablero acrilico.
202,50,Piso 2, Aula 2. Equipada con videobeam, aire acondicionado y tablero acrilico.
203,20,Piso 2, Aula 3. Equipada con videobeam, aire acondicionado y tablero acrilico.
204,30,Piso 2, Aula 4. Equipada con videobeam, aire acondicionado y tablero acrilico.
205,20,Piso 2, Aula 5. Equipada con videobeam, aire acondicionado y tablero acrilico.
206,50,Piso 2, Aula 6. Equipada con videobeam, aire acondicionado y tablero acrilico.
207,20,Piso 2, Aula 7. Equipada con videobeam, aire acondicionado y tablero acrilico.
208,50,Piso 2, Aula 8. Equipada con videobeam, aire acondicionado y tablero acrilico.
209,50,Piso 2, Aula 9. Equipada con videobeam, aire acondicionado y tablero acrilico.
210,40,Piso 2, Aula 10. Equipada con videobeam, aire acondicionado y tablero acrilico.
301,40,Piso 3, Aula 1. Equipada con videobeam, aire acondicionado y tablero acrilico.
302,50,Piso 3, Aula 2. Equipada con videobeam, aire acondicionado y tablero acrilico.
303,20,Piso 3, Aula 3. Equipada con videobeam, aire acondicionado y tablero acrilico.
304,20,Piso 3, Aula 4. Equipada con videobeam, aire acondicionado y tablero acrilico.
305,50,Piso 3, Aula 5. Equipada con videobeam, aire acondicionado y tablero acrilico.
306,50,Piso 3, Aula 6. Equipada con videobeam, aire acondicionado y tablero acrilico.
307,50,Piso 3, Aula 7. Equipada con videobeam, aire acondicionado y tablero acrilico.
308,30,Piso 3, Aula 8. Equipada con videobeam, aire acondicionado y tablero acrilico.
309,40,Piso 3, Aula 9. Equipada con videobeam, aire acondicionado y tablero acrilico.
310,20,Piso 3, Aula 10. Equipada con videobeam, aire acondicionado y tablero acrilico.
401,20,Piso 4, Aula 1. Equipada con videobeam, aire acondicionado y tablero acrilico.
402,50,Piso 4, Aula 2. Equipada con videobeam, aire acondicionado y tablero acrilico.
403,40,Piso 4, Aula 3. Equipada con videobeam, aire acondicionado y tablero acrilico.
404,50,Piso 4, Aula 4. Equipada con videobeam, aire acondicionado y tablero acrilico.
405,50,Piso 4, Aula 5. Equipada con videobeam, aire acondicionado y tablero acrilico.
406,40,Piso 4, Aula 6. Equipada con videobeam, aire acondicionado y tablero acrilico.
407,50,Piso 4, Aula 7. Equipada con videobeam, aire acondicionado y tablero acrilico.
408,40,Piso 4, Aula 8. Equipada con videobeam, aire acondicionado y tablero acrilico.
409,20,Piso 4, Aula 9. Equipada con videobeam, aire acondicionado y tablero acrilico.
410,40,Piso 4, Aula 10. Equipada con videobeam, aire acondicionado y tablero acrilico.
